"","Row.names","Log2FoldChange","logCPM","LR","PValue","P.Adjust","chromosome_name","start","end","totalGC","exonGc","intronGc","length","exonLength","GCtile","biotype","gc","gene_name","col"
"2651","ENSG00000261560",-0.542448434606651,5.07627003032835,4.58572002403781,0.0322394233667914,0.237399011668944,"chr16",11881075,11882569,0.432107023411371,0.432107023411371,".",1495,1494,"3","sense_intronic",43.21,"RP11-166B2.3","not"
"1089","ENSG00000230590",-0.257950248487108,10.5366127915597,4.57820749520712,0.032381071223417,0.237607049652911,"chrX",73963955,74293574,0.394706025119835,0.434689862779069,"0.39435461063233357",329620,6118,"3","lincRNA",39.47,"FTX","not"
"3637","ENSG00000277053",-0.308139625742394,9.19111523184946,4.56811273730833,0.0325724304456066,0.238550690026495,"chr7",75185385,75237696,0.468209970943569,0.43575054263424,"0.43327417524908474",52312,7923,"3","transcribed_unprocessed_pseudogene",46.82,"GTF2IP1","not"
"2033","ENSG00000251259",-0.403491625442016,6.8291517364521,4.55757214707566,0.0327735014318217,0.239561690273758,"chr4",105137280,105140619,0.349101796407186,0.37711737775619,".",3340,547,"1","lincRNA",34.91,"AC004069.2","not"
"2060","ENSG00000251661",0.358862466920935,8.29560105709933,4.54889759947703,0.0329399480679633,0.240316204618673,"chr11",318640,325631,0.556493135011442,0.531902039723018,".",6992,1884,"6","antisense",55.65,"RP11-326C3.11","not"
"2315","ENSG00000257681",-0.648543196177225,4.49298691645645,4.53640178136499,0.0331812703427404,0.241613043242828,"chr12",103746315,103768858,0.465667139815472,0.440230796106944,"0.4715363511659808",22544,1059,"3","antisense",46.57,"RP11-341G23.4","not"
"539","ENSG00000218052",0.479043837346335,6.50577450805674,4.52283128795933,0.0334454397825202,0.242144984025446,"chr15",85255369,85330334,0.470239842061735,0.576470874021259,"0.5493278172945161",74966,5496,"7","transcribed_unprocessed_pseudogene",47.02,"ADAMTS7P4","not"
"1510","ENSG00000237248",-0.513653368317513,6.62486244464142,4.52497478808911,0.0334035677631753,0.242144984025446,"chr12",9240003,9243052,0.427868852459016,0.438883011187737,".",3050,2470,"3","lincRNA",42.79,"LINC00987","not"
"3275","ENSG00000272506",-0.74504280596287,5.24369887693377,4.52293840791381,0.0334433459559139,0.242144984025446,"chr1",65003470,65004087,0.409385113268608,0.409385113268608,".",618,617,"2","lincRNA",40.94,"RP4-535B20.4","not"
"249","ENSG00000199804",-0.327254111630872,6.45860981532777,4.50584105504998,0.0337792801749097,0.244097041720213,"chr14",24158603,24158722,0.483333333333333,0.483333333333333,".",120,119,"5","rRNA",48.33,"RNA5SP383","not"
"1622","ENSG00000239969",-0.508591182212367,5.33038741353645,4.498570739587,0.0339231962933183,0.244671857895452,"chr7",102364162,102380633,0.418224866440019,0.586806999768881,"0.40916465179307904",16472,848,"8","transcribed_unprocessed_pseudogene",41.82,"RP11-163E9.2","not"
"260","ENSG00000200651",-0.403719785661356,6.62879753770046,4.4911815448626,0.0340701223265997,0.244802523560313,"chr17",77442109,77442213,0.428571428571429,0.428571428571429,".",105,104,"3","misc_RNA",42.86,"Y_RNA","not"
"3106","ENSG00000270542",-0.528846449005988,4.87897222232908,4.49267606955041,0.034040351780852,0.244802523560313,"chr9",33449755,33449941,0.475935828877005,0.475935828877005,".",187,186,"5","processed_pseudogene",47.59,"RP11-311H10.7","not"
"3290","ENSG00000272604",-0.458725562662799,5.63107215845266,4.47860017229888,0.0343218213994243,0.246145741772098,"chr7",105571083,105573660,0.357641582622188,0.357641582622188,".",2578,2577,"1","antisense",35.76,"RP11-251G23.5","not"
"2449","ENSG00000259797",-0.651108647205352,4.15282553169868,4.47249929989962,0.0344445726161533,0.246560867258001,"chr16",68316801,68319036,0.483899821109123,0.476685639476263,".",2236,426,"5","sense_intronic",48.39,"RP11-96D1.3","not"
"3139","ENSG00000271270",-0.361067733765134,5.81615962190198,4.46905134355787,0.0345141493377609,0.246594514347423,"chr3",129893871,129918575,0.440356203197733,0.429078014147075,"0.4261599450694911",24705,4619,"3","antisense",44.04,"TMCC1-AS1","not"
"964","ENSG00000228663",-0.584178780652155,4.85019413770385,4.45727238913051,0.0347529487242548,0.247220520635024,"chr20",50913731,50914411,0.449339207048458,0.449339207048458,".",681,680,"4","processed_pseudogene",44.93,"PSMD10P1","not"
"1554","ENSG00000237903",-0.714731997810743,4.18953936801059,4.45709787848816,0.0347564996058611,0.247220520635024,"chrX",119422917,119423547,0.491283676703645,0.476247275539619,".",631,431,"5","sense_intronic",49.13,"RP3-404F18.5","not"
"2153","ENSG00000254481",-0.59771058126507,4.93828693099283,4.45511417894423,0.03479688990785,0.247220520635024,"chr11",134123828,134124329,0.444223107569721,0.444223107569721,".",502,501,"4","processed_pseudogene",44.42,"PTP4A2P2","not"
"1755","ENSG00000243517",0.523274082945889,5.10104384191686,4.44624285000677,0.0349781213916128,0.248044476510299,"chr12",31251992,31252597,0.570957095709571,0.570957095709571,".",606,605,"7","processed_pseudogene",57.1,"RP11-627K11.1","not"
"1262","ENSG00000233369",-0.29235183306203,10.2665706618069,4.44214911866955,0.0350620844070062,0.248176876780318,"chr7",73154938,73207283,0.467905857181064,0.471179384418212,"0.4686697773305565",52346,3585,"5","transcribed_processed_pseudogene",46.79,"GTF2IP4","not"
"1204","ENSG00000232611",-0.318393716374836,6.9590703479177,4.42522985432396,0.0354113433555993,0.249281314337269,"chrX",136840931,136847797,0.427552060579584,0.439690868306192,".",6867,3016,"3","lincRNA",42.76,"RP11-1114A5.4","not"
"1708","ENSG00000242086",-0.221516073771607,10.3746991420107,4.42587180624216,0.0353980255475648,0.249281314337269,"chr3",195658062,195739964,0.483327839029095,0.489712500371531,"0.47496314680598856",81903,19798,"5","lincRNA",48.33,"LINC00969","not"
"2537","ENSG00000260517",-0.345855321407484,7.21448528487064,4.42190278266744,0.0354804501595535,0.249281314337269,"chr16",29116127,29217860,0.51325024082411,0.515957737061028,"0.5193915307660683",101734,3063,"6","lincRNA",51.33,"RP11-426C22.5","not"
"3138","ENSG00000271204",-0.569538711331636,6.22443125856995,4.42445250416134,0.0354274771257929,0.249281314337269,"chr7",130930209,130932206,0.391391391391391,0.391391391391391,".",1998,1997,"2","lincRNA",39.14,"RP11-138A9.1","not"
"1947","ENSG00000249476",-0.320510170715136,7.52157961816263,4.41206232271703,0.035685673971991,0.249340527146209,"chr5",109237120,109326369,0.424336134453781,0.446165131564295,"0.42242592337201357",89250,5467,"4","lincRNA",42.43,"CTD-2587M2.1","not"
"2104","ENSG00000253520",0.583336090576434,4.57492792781434,4.41335923050104,0.0356585559209994,0.249340527146209,"chr5",179527224,179527513,0.420689655172414,0.420689655172414,".",290,289,"3","processed_pseudogene",42.07,"RP11-798K23.5","not"
"3492","ENSG00000274341",-0.411526333627675,5.92621797340271,4.41637850582157,0.0355955070446485,0.249340527146209,"chr17",32408013,32408309,0.373737373737374,0.373737373737374,".",297,296,"1","lincRNA",37.37,"RP11-227G15.10","not"
"2341","ENSG00000258337",-1.02853794516305,3.94443081142058,4.39907425381404,0.0359584447924321,0.250785410378045,"chr12",116174502,116181295,0.376950250220783,0.415784865504943,".",6794,491,"2","sense_intronic",37.7,"RP11-115H15.2","not"
"1696","ENSG00000241741",0.475159452301878,5.02480873742778,4.38813250458945,0.036189932758257,0.251937608817097,"chr4",112788083,112788878,0.532663316582915,0.532663316582915,".",796,795,"6","processed_pseudogene",53.27,"RPL7AP30","not"
"1595","ENSG00000239201",-0.609354862875133,4.29186470070677,4.37246697828593,0.0365240777285059,0.253798938658229,"chr12",92168400,92168877,0.426778242677824,0.426778242677824,".",478,477,"3","processed_pseudogene",42.68,"RPL21P106","not"
"2623","ENSG00000261359",0.332417421523534,6.3211557664335,4.36468403917148,0.0366912869017086,0.254495586703274,"chr16",31201885,31203452,0.628188775510204,0.605461414878044,".",1568,1093,"8","antisense",62.82,"PYCARD-AS1","not"
"1094","ENSG00000230673",-0.373614776915679,6.07959060050712,4.35705577468104,0.0368559509544161,0.254724866211823,"chrX",74583088,74583546,0.466230936819172,0.466230936819172,".",459,458,"4","processed_pseudogene",46.62,"PABPC1P3","not"
"1596","ENSG00000239213",0.274316732427571,6.4596037135927,4.35694382912493,0.0368583731692983,0.254724866211823,"chr3",136841726,136862054,0.415613163461065,0.410675416100494,"0.4138694154710021",20329,1425,"2","antisense",41.56,"NCK1-AS1","not"
"3308","ENSG00000272688",0.399132474775096,5.8815263822851,4.35302553673088,0.0369432600930066,0.254848151748672,"chr18",3246401,3247086,0.469387755102041,0.469387755102041,".",686,685,"5","lincRNA",46.94,"RP13-270P17.3","not"
"2649","ENSG00000261546",0.745959079698254,3.86462322730338,4.3450274138182,0.0371171696634848,0.2555839889328,"chr16",89113175,89115279,0.604275534441805,0.604275534441805,".",2105,2104,"8","antisense",60.43,"CTD-2555A7.3","not"
"2209","ENSG00000255240",-0.411941718991979,6.16064532348662,4.33845164964538,0.0372607939780885,0.256109001646862,"chr11",58933643,59058659,0.393018549477271,0.484165310000767,"0.38785002319794853",125017,3689,"5","antisense",39.3,"RP11-142C4.6","not"
"2361","ENSG00000258725",-0.496493469699725,4.9733694320818,4.31441722202899,0.0377907132639567,0.258639063822121,"chr15",90966345,90988624,0.448384201077199,0.451950722097791,"0.4526294820743678",22280,1794,"4","antisense",44.84,"PRC1-AS1","not"
"2599","ENSG00000261167",-0.427702908598789,5.26025549218742,4.31509118121735,0.0377757464738793,0.258639063822121,"chr3",131455126,131458598,0.392744025338324,0.392744025338324,".",3473,3472,"2","sense_overlapping",39.27,"RP11-517B11.7","not"
"2984","ENSG00000268518",-0.533985942075312,5.17255996198878,4.31251352446839,0.0378330227532489,0.258639063822121,"chr19",50486810,50487638,0.540410132689988,0.523930971125805,".",829,624,"6","lincRNA",54.04,"CTD-2545M3.8","not"
"1196","ENSG00000232528",-0.417977523469681,5.92865159919281,4.3021565504047,0.0380640767564386,0.259751446591065,"chr20",1767957,1779995,0.45194783619902,0.549888999240275,"0.44305030372539833",12039,1558,"7","unitary_pseudogene",45.19,"RP4-673D20.3","not"
"3166","ENSG00000271789",-0.77775681381181,4.05008731963559,4.29241867903687,0.0382826683406774,0.260774950471173,"chr6",111297126,111298510,0.394945848375451,0.394945848375451,".",1385,1384,"2","lincRNA",39.49,"RP5-1112D6.7","not"
"1288","ENSG00000233674",-0.67794388153967,4.60234254381195,4.25738512437829,0.0390800332193138,0.264782898870966,"chr1",43743471,43743741,0.446494464944649,0.446494464944649,".",271,270,"4","processed_pseudogene",44.65,"RP11-184I16.3","not"
"1649","ENSG00000240498",-0.722804048085236,4.43890779245054,4.25748847379316,0.0390776555397297,0.264782898870966,"chr9",21994778,22121097,0.387887903736542,0.426492974079802,"0.38654648349370924",126320,4463,"3","antisense",38.79,"CDKN2B-AS1","not"
"2635","ENSG00000261448",0.414623073809348,4.93765230166741,4.25986089065,0.0390231168853646,0.264782898870966,"chr16",17134504,17138736,0.472241908811717,0.555163049153578,"0.4691399662731871",4233,638,"7","antisense",47.22,"CTD-2576D5.4","not"
"688","ENSG00000224805",-0.685772822259899,5.0726148906434,4.24853817575848,0.0392841315857353,0.265205719287747,"chr1",47179250,47180339,0.560550458715596,0.543076289353391,".",1090,659,"7","antisense",56.06,"LINC00853","not"
"1246","ENSG00000233170",0.733569979802574,3.95715132919311,4.23256988033211,0.0396553543556518,0.265205719287747,"chr8",37747338,37748004,0.493253373313343,0.493253373313343,".",667,666,"5","processed_pseudogene",49.33,"RP11-863K10.4","not"
"1291","ENSG00000233762",0.282377643066175,8.50981388801042,4.23063352204261,0.0397006193829856,0.265205719287747,"chr2",171517270,171517716,0.628635346756152,0.628635346756152,".",447,446,"8","processed_pseudogene",62.86,"AC007969.5","not"
"1987","ENSG00000250251",0.374144449674674,7.08993579582536,4.23884731465984,0.0395089826736751,0.265205719287747,"chr16",15125242,15154564,0.617228796507861,0.648597239391509,"0.6234766220734366",29323,5989,"8","transcribed_unprocessed_pseudogene",61.72,"PKD1P6","not"
"2848","ENSG00000266947",0.276796291799332,7.32121110014082,4.23690535895973,0.0395542028361567,0.265205719287747,"chr17",35231450,35242963,0.458659023797117,0.513182930821665,".",11514,2811,"6","antisense",45.87,"RP11-799D4.4","not"
"3286","ENSG00000272578",-0.238980854144068,8.82811792192821,4.23137555167823,0.0396832670204153,0.265205719287747,"chr22",23658094,23717356,0.497781077569478,0.528374983577533,"0.4826014502580391",59263,6998,"6","transcribed_unprocessed_pseudogene",49.78,"AP000347.2","not"
"3375","ENSG00000273062",0.648262798533638,4.41104256550475,4.24240697378627,0.0394262336186657,0.265205719287747,"chr1",178724306,178726285,0.644949494949495,0.644949494949495,".",1980,1979,"8","antisense",64.49,"RP11-428K3.1","not"
"3488","ENSG00000274275",-0.568840472683656,5.04805815623437,4.2442199379181,0.0393841587338749,0.265205719287747,"chr18",32031035,32031359,0.433846153846154,0.433846153846154,".",325,324,"3","sense_intronic",43.38,"RP11-326K13.5","not"
"848","ENSG00000226928",-0.564501315797357,6.05527775751702,4.22245391343262,0.0398924279921186,0.265562849789528,"chr2",111295629,111296046,0.497607655502392,0.497607655502392,".",418,417,"5","processed_pseudogene",49.76,"RPS14P4","not"
"2728","ENSG00000263413",0.593145877275759,4.84601800720962,4.22239495550843,0.03989381405678,0.265562849789528,"chr14",105858165,105858242,0.615384615384615,0.615384615384615,".",78,77,"8","miRNA",61.54,"MIR4538","not"
"361","ENSG00000207208",-0.516521734159443,5.23255082778941,4.21193924813829,0.0401404223585448,0.266737317106344,"chr14",101803227,101803331,0.428571428571429,0.428571428571429,".",105,104,"3","snRNA",42.86,"RNU6-790P","not"
"1937","ENSG00000249096",-0.440936309311933,5.95861745078881,4.20857891689002,0.0402200184397096,0.266799808183833,"chr4",184365183,184382306,0.413279607568325,0.456835595597646,"0.4005065812877767",17124,2759,"4","lincRNA",41.33,"RP11-290F5.1","not"
"719","ENSG00000225195",-0.51865511545843,6.13755795851542,4.18851501875167,0.0406987322766703,0.268040804430751,"chr12",64628344,64629976,0.451928965094917,0.419849922117055,".",1633,279,"3","sense_intronic",45.19,"RP11-338E21.2","not"
"940","ENSG00000228382",-0.401262876283584,6.1032516611871,4.19504593493508,0.0405422548615174,0.268040804430751,"chr1",226656640,226675067,0.483883221185153,0.503356530638762,".",18428,867,"6","sense_intronic",48.39,"ITPKB-IT1","not"
"3198","ENSG00000272037",-0.442998508873013,6.5270201236449,4.18787111701982,0.0407141941370046,0.268040804430751,"chr8",102256392,102257821,0.368531468531469,0.368531468531469,".",1430,1429,"1","antisense",36.85,"KB-431C1.5","not"
"3263","ENSG00000272447",0.386858549628204,5.92024492830253,4.18597791612089,0.0407596908605562,0.268040804430751,"chr10",79825902,79827602,0.637272192827748,0.637272192827748,".",1701,1700,"8","lincRNA",63.73,"RP11-182L21.6","not"
"3493","ENSG00000274364",-0.77551993914383,4.17877515338511,4.19185294804376,0.0406186781278375,0.268040804430751,"chr20",31535263,31535626,0.417582417582418,0.417582417582418,".",364,363,"3","sense_intronic",41.76,"RP3-324O17.7","not"
"271","ENSG00000201581",-0.6036453614873,4.62249063904047,4.18174156221457,0.0408616908851658,0.268247473323861,"chr10",6149623,6149940,0.509433962264151,0.509433962264151,".",318,317,"6","misc_RNA",50.94,"RN7SKP78","not"
"983","ENSG00000228939",-0.795985776317509,3.73889392479269,4.17652847286115,0.0409875760630161,0.268609959681938,"chr1",243793205,243794400,0.433110367892977,0.429405081594712,".",1196,515,"3","sense_intronic",43.31,"AKT3-IT1","not"
"3374","ENSG00000273061",-0.715675344849167,4.17617769459141,4.17329182871819,0.0410659391092048,0.268660300437327,"chr9",4676600,4679502,0.412332070272132,0.44367686471405,".",2903,610,"4","lincRNA",41.23,"CDC37L1-AS1","not"
"3235","ENSG00000272269",0.454320781555706,5.53108097888187,4.16451352448459,0.0412792655452413,0.269591904359901,"chr6",17706257,17707344,0.624080882352941,0.624080882352941,".",1088,1087,"8","antisense",62.41,"RP11-500C11.3","not"
"2701","ENSG00000262714",-0.370770182727487,7.59661149414436,4.15746667273368,0.0414513571608204,0.270251472672861,"chr16",53386944,53389085,0.355275443510738,0.355275443510738,".",2142,2141,"1","lincRNA",35.53,"RP11-44F14.8","not"
"2067","ENSG00000251922",-0.70390526580046,4.04857360241281,4.15014223548286,0.0416310267313823,0.270494927531597,"chr10",6017054,6017194,0.439716312056738,0.439716312056738,".",141,140,"3","snoRNA",43.97,"SNORA14","not"
"2435","ENSG00000259658",0.354270613840035,6.07315962296184,4.15053547045676,0.0416213598632439,0.270494927531597,"chr15",101737099,101746870,0.443307408923455,0.53644713276502,"0.4234202490016444",9772,1251,"7","transcribed_unprocessed_pseudogene",44.33,"RP11-89K11.1","not"
"259","ENSG00000200648",-0.437624305686465,5.95597219315621,4.14328285727689,0.0418000303539983,0.271070164817655,"chr5",175703898,175704004,0.392523364485981,0.392523364485981,".",107,106,"2","snRNA",39.25,"RNU6-226P","not"
"698","ENSG00000224950",-0.289947178352681,8.15068359770895,4.14076727343026,0.0418621906729712,0.271070164817655,"chr1",116493016,116499212,0.506858157172826,0.546054719323629,".",6197,2300,"7","lincRNA",50.69,"RP5-1086K13.1","not"
"867","ENSG00000227165",-0.52071864615711,5.36778964171332,4.13232783007467,0.042071440691161,0.271347142301136,"chr10",120761812,120851345,0.430350481381375,0.449334119090149,"0.4301370360918108",89534,4102,"4","antisense",43.04,"WDR11-AS1","not"
"1341","ENSG00000234498",0.5904856717153,4.35806030296324,4.13191586869721,0.0420816830774242,0.271347142301136,"chr12",12875499,12876107,0.566502463054187,0.566502463054187,".",609,608,"7","processed_pseudogene",56.65,"RPL13AP20","not"
"2925","ENSG00000267554",-0.296741093612952,8.96746263566605,4.12986768896477,0.0421326448470701,0.271347142301136,"chr17",35470069,35470628,0.464285714285714,0.464285714285714,".",560,559,"4","processed_pseudogene",46.43,"RP11-686D22.10","not"
"3625","ENSG00000276744",0.704860671641411,4.00558366798893,4.12754486918317,0.0421905185740519,0.271347142301136,"chr15",75452964,75453947,0.577235772357724,0.577235772357724,".",984,983,"7","sense_intronic",57.72,"CTD-2562G15.3","not"
"3685","ENSG00000277969",0.308224074475362,6.88985968697492,4.12389518078734,0.042281620457509,0.271473715133432,"chr17",38702452,38704747,0.579268292682927,0.579268292682927,".",2296,2295,"7","lincRNA",57.93,"CTB-58E17.1","not"
"741","ENSG00000225450",0.383180618962399,6.52566701365595,4.11195308715449,0.0425811616646986,0.27293591144607,"chr22",38739003,38749041,0.535611116645084,0.581944603379597,".",10039,498,"7","antisense",53.56,"RP3-508I15.14","not"
"236","ENSG00000198658",0.46559046635825,4.8712313996289,4.10594250784376,0.0427327670682018,0.272986970800395,"chr1",148146395,148149566,0.673076923076923,0.668813045303094,".",3172,931,"8","unprocessed_pseudogene",67.31,"ABHD17AP1","not"
"3532","ENSG00000275056",-0.649920661118075,4.33430846443865,4.10872789279,0.0426624406063658,0.272986970800395,"chr16",4839244,4840334,0.457378551787351,0.457378551787351,".",1091,1090,"4","sense_intronic",45.74,"RP11-127I20.8","not"
"1287","ENSG00000233673",-1.00320512804095,4.2639291695867,4.10128818020226,0.0428505534575008,0.273280123644229,"chr2",86861825,86922693,0.408648080303603,0.443427202863191,"0.40948227808300425",60869,2537,"4","transcribed_unprocessed_pseudogene",40.86,"ANAPC1P1","not"
"1036","ENSG00000229932",-0.429089131826386,5.21620315183555,4.07950785139511,0.0434062998467917,0.275406458640957,"chr10",23136924,23137661,0.441734417344173,0.441734417344173,".",738,737,"3","processed_pseudogene",44.17,"YWHAZP3","not"
"1172","ENSG00000232098",0.291195646805272,8.0276838869684,4.07688283421508,0.0434737898407194,0.275406458640957,"chr19",58404238,58408484,0.610313162232164,0.619249936794784,".",4247,3415,"8","lincRNA",61.03,"CTD-2619J13.14","not"
"1635","ENSG00000240342",0.401841233616842,13.3385847966383,4.07705640582432,0.0434693238551652,0.275406458640957,"chr12",118246084,118246962,0.612059158134243,0.612059158134243,".",879,878,"8","processed_pseudogene",61.21,"RPS2P5","not"
"2116","ENSG00000253653",0.63944987301826,4.38777692372926,4.08473318101326,0.043272282861284,0.275406458640957,"chr5",157260122,157266625,0.461715867158672,0.513547832533471,"0.41040587219343694",6504,908,"6","antisense",46.17,"CTC-248O19.1","not"
"2045","ENSG00000251450",0.716938611729455,3.98744723487697,4.0677630349646,0.0437091219453681,0.276409412538119,"chr5",80947697,80960907,0.44970100673681,0.456194161979202,"0.42121697032144245",13211,1161,"4","antisense",44.97,"RASGRF2-AS1","not"
"2351","ENSG00000258559",-0.505798691214458,5.37401858503172,4.06512095463228,0.0437775496837537,0.276409412538119,"chr14",74289127,74294425,0.524627288167579,0.48060124206825,".",5299,1365,"5","sense_overlapping",52.46,"AC005519.4","not"
"1122","ENSG00000231205",0.588835641199493,5.33970125375191,4.05592387461473,0.0440166270574164,0.277458042197744,"chr19",20340269,20424969,0.400727264140919,0.36756464024963,"0.39225115672201033",84701,5999,"1","transcribed_unprocessed_pseudogene",40.07,"ZNF826P","not"
"2489","ENSG00000260144",-0.567773581239377,4.26715465035233,4.05079723413957,0.0441504897165057,0.277469543108443,"chr15",72605183,72612326,0.526735722284434,0.553098925142216,"0.5243493209144554",7144,1183,"7","unprocessed_pseudogene",52.67,"RP11-361M10.3","not"
"2998","ENSG00000268858",0.327507591845104,8.65507445993288,4.05026353746223,0.0441644497712729,0.277469543108443,"chr20",63861212,63864293,0.63335496430889,0.63335496430889,".",3082,3081,"8","antisense",63.34,"RP4-591C20.9","not"
"2096","ENSG00000253366",-0.550881066504238,5.01412834862933,4.03986768358553,0.0444373057225675,0.278263919359932,"chr5",70751184,70795914,0.425208468399991,0.512612822553784,"0.41671632408214626",44731,635,"6","unprocessed_pseudogene",42.52,"RP11-589F5.4","not"
"2520","ENSG00000260335",0.321364442114637,5.05290183366026,4.04043765174634,0.0444223001085403,0.278263919359932,"chr16",29449191,29449625,0.622988505747126,0.664256670043904,".",435,150,"8","unprocessed_pseudogene",62.3,"RP11-345J4.6","not"
"3481","ENSG00000274184",-0.540023266600358,5.34927760626959,4.02241421377192,0.0448993983447722,0.280695087349472,"chr18",35268218,35270238,0.376051459673429,0.376051459673429,".",2021,2020,"1","lincRNA",37.61,"RP11-158H5.8","not"
"362","ENSG00000207234",-0.403461796329503,5.98934955274662,3.98447237816148,0.0459214806791374,0.280834067077754,"chr1",88816779,88816885,0.411214953271028,0.411214953271028,".",107,106,"2","snRNA",41.12,"RNU6-125P","not"
"416","ENSG00000213373",0.431146989919668,6.54583805114047,4.00838611764891,0.0452744687646308,0.280834067077754,"chr17",42874670,42898704,0.487289369669232,0.534457620514354,"0.48261776977427934",24035,2159,"6","lincRNA",48.73,"LINC00671","not"
"778","ENSG00000225978",0.44116146296217,5.70273684082019,3.99428720458278,0.0456547592441158,0.280834067077754,"chr20",63102205,63104386,0.645737855178735,0.638692391717325,".",2182,1880,"8","lincRNA",64.57,"HAR1A","not"
"829","ENSG00000226571",-0.84331157754198,4.34841005811316,3.98445303232936,0.0459220080273938,0.280834067077754,"chr6",139271362,139287307,0.405744387307162,0.437587007492789,"0.4038137834061336",15946,910,"3","antisense",40.57,"RP11-445F6.2","not"
"1095","ENSG00000230701",-0.674682074271224,4.80854721003162,3.98990490006474,0.0457736476847272,0.280834067077754,"chr22",23262767,23265005,0.586869138008039,0.586869138008039,".",2239,2238,"8","processed_pseudogene",58.69,"FBXW4P1","not"
"1141","ENSG00000231607",-0.199606724271568,8.59116556115862,3.98475164501954,0.0459138688515815,0.280834067077754,"chr13",49982552,50125720,0.384454735312812,0.410088912016117,"0.3707097913606973",143169,5298,"2","antisense",38.45,"DLEU2","not"
"1317","ENSG00000234171",0.286062294004543,6.62804791393767,3.97911283668215,0.0460678207716787,0.280834067077754,"chr2",3558492,3561745,0.474185617701291,0.533692300752978,"0.4521158129175947",3254,1215,"6","antisense",47.42,"RNASEH1-AS1","not"
"1322","ENSG00000234268",-0.604560715891366,4.63434488359517,3.98284430363879,0.0459658827173932,0.280834067077754,"chr11",117035797,117036051,0.490196078431373,0.490196078431373,".",255,254,"5","processed_pseudogene",49.02,"AP000936.1","not"
"1430","ENSG00000235776",0.293638082933858,7.08459329460582,4.01517096342184,0.0450926514328998,0.280834067077754,"chr22",19792294,19793094,0.52059925093633,0.52059925093633,".",801,800,"6","processed_pseudogene",52.06,"AC000089.3","not"
"1752","ENSG00000243417",-0.486922105661119,5.34967772049363,4.01768677911471,0.0450254292752827,0.280834067077754,"chr4",152551277,152552364,0.431985294117647,0.394995241826197,".",1088,775,"2","processed_pseudogene",43.2,"RP11-555K12.1","not"
"1824","ENSG00000245552",-0.347996697957273,6.88406701483347,4.01021138655281,0.0452254802158042,0.280834067077754,"chr11",95150539,95234104,0.372208793049805,0.493171678424469,"0.369136922172041",83566,5351,"5","antisense",37.22,"RP11-712B9.2","not"
"2031","ENSG00000251215",-0.45826646741683,6.3767134074483,3.97510181197225,0.0461776616478811,0.280834067077754,"chr5",39169210,39170335,0.425399644760213,0.407141981733635,".",1126,978,"2","processed_pseudogene",42.54,"GOLGA5P1","not"
"2087","ENSG00000253200",0.228757195890302,9.51130750359366,3.9816653060256,0.045998065444024,0.280834067077754,"chr8",22613908,22616657,0.552727272727273,0.552727272727273,".",2750,2749,"7","antisense",55.27,"RP11-582J16.5","not"
"2300","ENSG00000257433",0.351180022543362,7.21306376940767,3.98235588883779,0.0459792119427732,0.280834067077754,"chr12",47706085,47742294,0.5017674675504,0.538056813617688,"0.4938103992153062",36210,4402,"7","antisense",50.18,"RP1-197B17.3","not"
"2326","ENSG00000257878",-0.343941052287138,9.04126944794085,3.98880538666401,0.0458035277670241,0.280834067077754,"chr12",95996521,96011489,0.392945420535774,0.458110070614602,"0.3878391889639807",14969,858,"4","antisense",39.29,"RP11-256L6.3","not"
"2628","ENSG00000261375",-0.754693093264775,4.36764310939642,3.99983613797093,0.0455046876575444,0.280834067077754,"chr15",32489267,32491586,0.551293103448276,0.557094192424178,"0.5426207861427854",2320,1258,"7","unprocessed_pseudogene",55.13,"RP11-632K20.6","not"
"3634","ENSG00000276968",-0.667962267223462,3.86596872600326,3.97550690340577,0.0461665558040875,0.280834067077754,"chr13",48041751,48042184,0.3963133640553,0.3963133640553,".",434,433,"2","antisense",39.63,"RP11-90M2.5","not"
"2565","ENSG00000260822",-0.251667589517569,10.1366898731593,3.96795940540224,0.046373938531449,0.28157722101923,"chrX",24545516,24550466,0.383558876994547,0.383558876994547,".",4951,4950,"1","sense_overlapping",38.36,"GS1-358P8.4","not"
"1311","ENSG00000234028",0.383884526472671,5.95508031177726,3.95427791395443,0.0467523724294683,0.282554440047965,"chr2",88627539,88631821,0.437076815316367,0.434408802452147,".",4283,4701,"3","antisense",43.71,"AC062029.1","not"
"1400","ENSG00000235374",0.437374267380271,5.2145684944702,3.95407927473846,0.0467578907630019,0.282554440047965,"chr21",45070952,45074165,0.580896079651525,0.593656480361171,".",3214,2634,"8","transcribed_processed_pseudogene",58.09,"SSR4P1","not"
"1597","ENSG00000239247",-0.575535265640526,5.04732206351986,3.95881286198221,0.0466265750636324,0.282554440047965,"chr4",2316197,2316506,0.52258064516129,0.52258064516129,".",310,309,"6","misc_RNA",52.26,"RN7SL589P","not"
"332","ENSG00000205871",0.765133054960503,5.2172920598142,3.94388355257024,0.0470420592361866,0.283231164063177,"chr15",43115702,43116493,0.421717171717172,0.421717171717172,".",792,791,"3","processed_pseudogene",42.17,"RPS3AP47","not"
"391","ENSG00000212176",-0.681124957306704,4.64579843878751,3.92730950252997,0.0475078936988099,0.283231164063177,"chr6",41239520,41239626,0.598130841121495,0.598130841121495,".",107,106,"8","rRNA",59.81,"RNA5SP207","not"
